arabic,dutch
قِطٌّ,kat
قِطَّةٌ,kat (vrouwelijk)
كَلْبٌ,hond
كَلْبَةٌ,hond (vrouwelijk)
حِصَانٌ,paard
بَقَرَةٌ,koe
خَرُوفٌ,schaap
مَاعِزٌ,geit
حِمَارٌ,ezel
جَمَلٌ,kameel
فِيلٌ,olifant
أَسَدٌ,leeuw
نَمِرٌ,tijger
دُبٌّ,beer
ذِئْبٌ,wolf
ثَعْلَبٌ,vos
أَرْنَبٌ,konijn
فَأْرٌ,muis
جُرَذٌ,rat
قِرْدٌ,aap
زَرَافَةٌ,giraf
فَرَسُ النَّهْرِ,nijlpaard
وَحِيدُ القَرْنِ,neushoorn
غُزَالٌ,hert
طَائِرٌ,vogel
بَطَّةٌ,eend
دَجَاجَةٌ,kip
دِيكٌ,haan
حَمَامَةٌ,duif
بَبَّغَاءُ,papegaai
نَسْرٌ,adelaar
بُومَةٌ,uil
عُصْفُورٌ,mus
غُرَابٌ,kraai
سَمَكَةٌ,vis
دُولْفِينٌ,dolfijn
قِرْشٌ,haai
حُوتٌ,walvis
أَخْطَبُوطٌ,octopus
سُلَحْفَاةٌ,schildpad
ثُعْبَانٌ,slang
تِمْسَاحٌ,krokodil
ضِفْدَعٌ,kikker
فَرَاشَةٌ,vlinder
نَحْلَةٌ,bij
نَمْلَةٌ,mier
عَنْكَبُوتٌ,spin
حَيَوَانٌ,dier
حَيَوَانَاتٌ,dieren
حَيَوَانٌ أَلِيفٌ,huisdier
حَيَوَانٌ بَرِّيٌّ,wild dier
