dutch,arabic
sap,عَصِيرٌ
visser ,صَيَّادٌ
uien ,بَصَلٌ
foto ,صُورَةٌ
kooi,قَفَصٌ
valk,صَقْرٌ
doos,صُنْدُوقٌ
paard,حِصَانٌ
minaret,صَوْمَعَةٌ
geel,أَصْفَرُ
klas,فَصْلٌ
feest,حَفْلٌ
schaap,خَرُوفٌ
arm,فَقِيرٌ
schoongemaakt ,نَظَّفَ
plank,رَفٌّ
raam,نَافِذَةٌ
muis,فَأْرٌ
vlinder ,فَرَاشَةٌ
olifant,فِيلٌ
muur,سُورٌ
arend,نَسْرٌ
wedstrijd,سِبَاقٌ
schip,سَفِينَةٌ
tekening,رُسُومٌ
school,مَدْرَسَةٌ
mand,سَلَّةٌ
tuin,بُسْتَانٌ
bewaker,حَرَسٌ
plein,سَاحَةٌ
koran,قُرْآنٌ
ketting,قِلَادَةٌ
shirt,قَمِيصٌ
zitplaatsen,مَقَاعِدُ
bliksem ,بَرْقٌ
pen,قَلَمٌ
kooi,قَفَصٌ
aap,قِرْدٌ
vuilnis,قُمَامَةٌ
hoed ,قُبَّعَةٌ
framboos,تُوتٌ
mand,سَلَّةٌ
tuin,بُسْتَانٌ
krokodil ,تِمْسَاحٌ
kroon,تَاجٌ
dadel,تَمْرٌ
vijg,تِينٌ
appel,تُفَّاحٌ
stad,مَدِينَةٌ
jurk,فُسْتَانٌ
sleutel ,مِفْتَاحٌ
dromen ,أَحْلَامٌ
slagen,نَجَاحٌ
boer,فَلَّاحٌ
scheidsrechter ,حَكَمٌ
een meer,بُحَيْرَةٌ
zwembad ,مَسْبَحٌ
tuin,حَدِيقَةٌ
paard ,حِصَانٌ
bewaker,حَارِسٌ
